year,rank,overall_wins,overall_win_loss_percentage,conference_wins,conference_losses,own_points_per_game,simple_rating_system,ap_pre,ap_high,ap_final,conference_tournament_champion,poy,points,steals,steals per game,assists,assists per game,blocks,blocks per game,champion
1985,1,22,0.688,12,4,73.7,1.46,26,26,26,False,0,0,0,0,0,0,0,0,0
1985,3,23,0.697,9,5,73.3,6.78,13,9,16,False,0,0,0,0,0,0,0,0,0
1985,1,21,0.677,11,3,77.3,0.96,26,26,26,True,0,0,0,0,0,0,0,0,0
1985,3,23,0.697,11,7,67.4,7.15,26,26,26,False,0,0,0,0,0,0,0,0,0
1985,4,21,0.677,12,6,65.6,4.44,26,19,26,False,0,0,0,0,0,0,0,0,0
1985,1,26,0.813,12,2,72.3,4.61,26,11,11,True,0,0,0,0,0,0,0,0,0
1985,2,21,0.618,12,4,73.8,-2.46,26,26,26,True,0,0,0,0,0,0,0,0,0
1986,1,37,0.925,12,2,79.8,9.5,6,1,1,True,0,0,0,0,0,0,0,0,0
1986,3,20,0.645,10,4,72.8,-10.28,26,26,26,True,0,0,0,0,0,0,0,0,0
1986,1,23,0.742,11,3,66.3,5.49,26,26,26,False,0,0,0,0,0,0,0,0,0
1986,3,22,0.667,15,3,69.8,1.7,26,26,26,False,0,0,0,0,0,0,0,0,0
1986,5,19,0.633,7,7,70.4,9.41,26,26,26,False,0,0,0,0,0,0,0,0,0
1986,5,26,0.743,8,6,85.9,8.49,13,5,15,False,0,0,0,0,0,0,0,0,0
1986,1,26,0.839,16,2,74.3,-5.24,26,26,26,True,0,0,0,0,0,0,0,0,0
1986,1,26,0.813,16,2,69.4,0.96,26,26,26,True,0,0,0,0,0,0,0,0,0
1986,2,23,0.767,12,2,66.4,0.84,26,20,26,False,0,0,0,0,0,0,0,0,0
1986,2,21,0.724,13,5,76.3,11.41,26,15,16,False,0,0,0,0,0,0,0,0,0
1986,1,29,0.879,13,1,87.1,-2.48,26,26,26,True,0,0,0,0,0,0,0,0,0
1986,1,30,0.857,13,1,76.1,1.28,19,17,17,True,0,0,0,0,0,0,1,1,0
1986,2,23,0.719,10,6,65.0,3.72,26,26,26,True,0,0,0,0,0,0,0,0,0
1986,2,26,0.813,14,2,83.4,6.65,4,4,9,False,0,0,0,0,0,0,0,0,0
1986,1,16,0.593,10,4,72.4,-5.86,26,26,26,False,0,0,0,0,0,0,0,0,0
1986,1,35,0.897,13,1,80.3,10.42,5,2,2,True,0,0,0,0,1,0,0,0,0
1986,1,22,0.733,12,2,62.7,-12.67,26,26,26,True,0,0,0,0,0,0,0,0,0
1986,4,21,0.677,9,5,66.6,5.77,26,26,26,True,0,0,0,0,0,0,0,0,0
1986,2,25,0.806,15,3,67.6,-0.26,26,26,26,False,0,0,0,0,0,0,1,1,0
1986,3,23,0.742,12,6,83.1,7.98,26,17,18,False,0,0,0,0,0,0,0,0,0
1986,2,19,0.613,13,5,72.1,5.38,26,26,26,False,0,0,0,0,0,0,0,0,0
1986,3,24,0.75,11,5,76.7,6.77,8,5,13,False,0,0,0,0,0,0,0,0,0
1986,5,17,0.548,9,7,62.1,5.19,26,26,26,True,0,0,0,0,0,0,0,0,0
1986,4,21,0.618,7,7,70.3,10.39,17,15,26,False,0,0,0,0,0,0,0,0,0
1986,6,20,0.625,10,8,73.0,9.28,26,18,26,False,0,0,0,0,0,0,0,0,0
1986,2,23,0.676,12,2,79.8,-4.89,26,26,26,True,0,0,0,0,0,0,0,0,0
1986,2,22,0.667,9,5,74.8,10.69,26,26,26,False,0,0,0,0,0,0,0,0,0
1986,1,24,0.774,16,2,76.2,-0.07,26,26,26,False,0,0,1,0,0,0,0,0,0
1986,1,28,0.848,14,4,76.7,9.56,3,2,5,False,0,0,0,0,0,0,0,0,0
1986,1,22,0.733,10,4,72.7,-3.79,26,26,26,True,0,0,0,0,0,0,0,0,0
1986,1,32,0.889,17,1,73.7,9.63,11,3,3,True,0,0,0,0,0,0,0,0,0
1986,2,20,0.645,10,6,67.7,-3.26,26,26,26,True,0,0,0,0,0,0,0,0,0
1986,2,23,0.742,10,4,67.8,5.31,26,19,26,False,0,0,0,0,0,0,0,0,0
1986,3,19,0.633,8,6,69.8,8.93,26,26,26,False,0,0,0,0,0,0,0,0,0
1986,3,24,0.727,13,5,75.0,9.09,26,18,26,False,0,0,0,0,0,0,0,0,0
1986,1,25,0.833,10,2,78.4,1.05,26,26,26,True,0,0,0,0,0,1,0,0,0
1986,4,22,0.688,11,7,72.7,9.44,7,7,19,False,0,0,0,0,0,0,0,0,0
1986,1,24,0.774,13,1,65.1,-6.65,26,26,26,True,0,0,0,0,0,0,0,0,0
1986,5,22,0.688,11,7,76.3,9.51,26,15,26,False,0,0,0,0,0,0,0,0,0
1986,5,26,0.684,9,9,74.7,10.71,14,8,26,False,0,0,0,0,0,0,0,0,0
1986,2,28,0.824,9,3,82.1,5.48,15,2,12,False,0,0,0,0,1,0,0,0,0
1986,3,21,0.677,11,7,73.0,-1.75,26,26,26,True,0,0,0,0,0,0,0,0,0
1986,3,22,0.71,7,5,79.0,5.66,26,15,26,False,0,0,0,0,0,0,0,0,0
1986,4,23,0.622,10,6,69.7,6.26,26,26,26,False,0,0,0,0,0,0,0,0,0
1986,2,27,0.794,11,3,73.8,11.71,1,1,6,False,0,0,0,0,0,0,0,0,0
1986,2,19,0.613,11,5,66.4,-9.3,26,26,26,True,0,0,0,0,0,0,0,0,0
1986,1,31,0.861,14,2,77.1,6.26,26,4,4,True,1,0,0,0,1,1,0,0,0
1986,6,14,0.452,6,8,78.0,1.47,26,26,26,True,0,0,0,0,0,0,0,0,0
